x_m,y_m,s_m
10.12474,12.10688,5.63938
10.12458,12.12758,5.65938
10.12434,12.14795,5.67938
10.12407,12.16930,5.69938
10.12349,12.19070,5.71937
10.12290,12.21155,5.73937
10.12209,12.23328,5.75937
10.12109,12.25417,5.77937
10.12002,12.27618,5.79936
10.11846,12.29823,5.81936
10.11692,12.31947,5.83936
10.11497,12.34203,5.85935
10.11279,12.36333,5.87935
10.11041,12.38627,5.89935
10.10727,12.40922,5.91935
10.10428,12.43060,5.93935
10.10069,12.45348,5.95934
10.09693,12.47483,5.97934
10.09285,12.49778,5.99934
10.08794,12.52069,6.01933
10.08331,12.54198,6.03933
10.07787,12.56490,6.05932
10.07236,12.58610,6.07932
10.06644,12.60870,6.09932
10.05968,12.63120,6.11932
10.05339,12.65191,6.13932
10.04625,12.67404,6.15931
10.03918,12.69459,6.17931
10.03170,12.71623,6.19931
10.02352,12.73771,6.21930
10.01585,12.75770,6.23930
10.00736,12.77888,6.25930
9.99902,12.79871,6.27929
9.99031,12.81936,6.29929
9.98103,12.83986,6.31929
9.97249,12.85864,6.33929
9.96360,12.87786,6.35928
9.95481,12.89651,6.37928
9.94589,12.91543,6.39928
9.93677,12.93427,6.41928
9.92691,12.95459,6.43928
9.91514,12.97717,6.45926
9.90390,12.99714,6.47926
9.89287,13.01666,6.49926
9.88128,13.03597,6.51926
9.86980,13.05498,6.53925
9.85661,13.07570,6.55925
9.84405,13.09430,6.57924
9.83009,13.11483,6.59924
9.81501,13.13478,6.61924
9.80194,13.15189,6.63924
9.78777,13.16987,6.65923
9.77415,13.18655,6.67923
9.75663,13.20774,6.69923
9.73739,13.22779,6.71922
9.72179,13.24373,6.73922
9.70438,13.26072,6.75921
9.68803,13.27590,6.77921
9.66989,13.29261,6.79921
9.65084,13.30854,6.81920
9.63261,13.32360,6.83920
9.61077,13.34027,6.85918
9.59106,13.35399,6.87918
9.56997,13.36851,6.89918
9.54790,13.38191,6.91917
9.52841,13.39356,6.93917
9.50626,13.40598,6.95916
9.48593,13.41654,6.97916
9.46352,13.42806,6.99915
9.44035,13.43845,7.01915
9.41920,13.44777,7.03915
9.39484,13.45758,7.05913
9.37286,13.46550,7.07913
9.34890,13.47401,7.09913
9.32430,13.48124,7.11913
9.30276,13.48741,7.13912
9.27885,13.49364,7.15911
9.25690,13.49871,7.17911
9.23369,13.50400,7.19911
9.21015,13.50839,7.21911
9.18856,13.51233,7.23910
9.16496,13.51614,7.25910
9.14307,13.51915,7.27909
9.12043,13.52223,7.29909
9.09758,13.52463,7.31909
9.07604,13.52684,7.33909
9.05278,13.52881,7.35908
9.03103,13.53021,7.37908
9.00905,13.53161,7.39908
8.98697,13.53253,7.41908
8.96626,13.53335,7.43907
8.94488,13.53405,7.45907
8.92414,13.53455,7.47907
8.90330,13.53505,7.49907
8.88243,13.53535,7.51906
8.86240,13.53563,7.53906
8.84240,13.53591,7.55906
8.82241,13.53619,7.57906
8.80325,13.53646,7.59905
8.78413,13.53691,7.61905
8.76434,13.53739,7.63905
8.74469,13.53789,7.65905
8.72489,13.53845,7.67905
8.70306,13.53905,7.69904
8.68113,13.53921,7.71904
8.65945,13.53933,7.73904
8.63596,13.53904,7.75903
8.61408,13.53831,7.77903
8.59090,13.53749,7.79903
8.56762,13.53587,7.81903
8.54576,13.53428,7.83902
8.52202,13.53208,7.85902
8.50010,13.52953,7.87901
8.47703,13.52681,7.89901
8.45394,13.52328,7.91901
8.43235,13.51991,7.93901
8.40897,13.51579,7.95900
8.38738,13.51148,7.97900
8.36390,13.50674,7.99900
8.34047,13.50099,8.01899
8.31883,13.49558,8.03899
8.29507,13.48902,8.05898
8.27354,13.48243,8.07898
8.25065,13.47536,8.09898
8.22789,13.46728,8.11897
8.20714,13.45981,8.13897
8.18465,13.45117,8.15896
8.16411,13.44269,8.17896
8.14177,13.43340,8.19896
8.11968,13.42306,8.21896
8.09973,13.41360,8.23895
8.07814,13.40279,8.25895
8.05850,13.39234,8.27894
8.03684,13.38073,8.29894
8.01558,13.36801,8.31894
7.99625,13.35629,8.33894
7.97499,13.34260,8.35893
7.95616,13.32962,8.37892
7.93607,13.31567,8.39892
7.91649,13.30068,8.41892
7.89918,13.28729,8.43892
7.88070,13.27243,8.45891
7.86386,13.25825,8.47891
7.84560,13.24279,8.49890
7.82786,13.22649,8.51890
7.81101,13.21085,8.53890
7.79240,13.19244,8.55888
7.77640,13.17542,8.57888
7.76048,13.15838,8.59888
7.74507,13.14068,8.61888
7.73085,13.12424,8.63888
7.71583,13.10621,8.65887
7.70216,13.08911,8.67887
7.68677,13.06971,8.69886
7.67221,13.04938,8.71886
7.65953,13.03147,8.73886
7.64617,13.01180,8.75885
7.63420,12.99326,8.77885
7.62206,12.97443,8.79885
7.61036,12.95518,8.81885
7.59953,12.93728,8.83884
7.58842,12.91852,8.85884
7.57793,12.90035,8.87884
7.56635,12.88024,8.89884
7.55539,12.85961,8.91883
7.54524,12.84033,8.93883
7.53463,12.81925,8.95882
7.52518,12.79942,8.97882
7.51494,12.77778,8.99882
7.50551,12.75554,9.01882
7.49694,12.73503,9.03881
7.48802,12.71223,9.05881
7.48040,12.69110,9.07880
7.47224,12.66824,9.09880
7.46504,12.64484,9.11880
7.45859,12.62349,9.13880
7.45202,12.59972,9.15879
7.44663,12.57782,9.17878
7.44089,12.55421,9.19878
7.43617,12.53017,9.21878
7.43203,12.50850,9.23878
7.42801,12.48476,9.25877
