x_m,y_m,s_m
8.02037,12.92395,8.59888
8.00956,12.91146,8.61888
7.99761,12.89765,8.63888
7.98703,12.88497,8.65887
7.97574,12.87081,8.67887
7.96619,12.85895,8.69886
7.95755,12.84670,8.71886
7.94711,12.83197,8.73886
7.93800,12.81857,8.75885
7.92829,12.80350,8.77885
7.91874,12.78873,8.79885
7.90969,12.77378,8.81885
7.89981,12.75747,8.83884
7.89054,12.74181,8.85884
7.88103,12.72535,8.87884
7.87261,12.71082,8.89884
7.86485,12.69611,8.91883
7.85636,12.68001,8.93883
7.84898,12.66537,8.95882
7.84125,12.64908,8.97882
7.83431,12.63461,8.99882
7.82820,12.62000,9.01882
7.82133,12.60361,9.03881
7.81567,12.58918,9.05881
7.80976,12.57267,9.07880
7.80439,12.55790,9.09880
7.79991,12.54304,9.11880
7.79477,12.52612,9.13880
7.79068,12.51135,9.15879
7.78654,12.49441,9.17878
7.78275,12.47918,9.19878
7.77985,12.46395,9.21878
7.77647,12.44634,9.23878
7.77381,12.43066,9.25877
7.77130,12.41307,9.27877
7.76892,12.39676,9.29876
7.76730,12.38054,9.31876
7.76544,12.36217,9.33876
7.76400,12.34523,9.35875
7.76280,12.32690,9.37875
7.76163,12.30946,9.39875
7.76100,12.29210,9.41875
7.76031,12.27318,9.43875
7.75986,12.25529,9.45874
7.75964,12.23644,9.47874
7.75941,12.21761,9.49874
7.75944,12.19884,9.51873
7.75948,12.17930,9.53873
7.75960,12.16017,9.55873
7.75984,12.14066,9.57873
7.76007,12.12116,9.59873
7.76041,12.10169,9.61872
7.76077,12.08172,9.63872
7.76113,12.06173,9.65872
7.76149,12.04173,9.67872
7.76186,12.02140,9.69871
7.76215,12.00106,9.71871
7.76243,11.98089,9.73871
7.76268,11.96054,9.75871
7.76288,11.94035,9.77871
7.76308,11.92002,9.79870
7.76321,11.89968,9.81870
7.76333,11.87958,9.83870
7.76343,11.85941,9.85870
7.76351,11.83932,9.87870
7.76359,11.81932,9.89869
7.76367,11.79932,9.91869
7.76375,11.77932,9.93869
7.76383,11.75933,9.95869
7.76391,11.73933,9.97868
7.76399,11.71933,9.99868
7.76407,11.69933,10.01868
7.76415,11.67934,10.03868
7.76423,11.65934,10.05868
7.76431,11.63934,10.07867
7.76439,11.61951,10.09867
7.76451,11.59969,10.11867
7.76463,11.57962,10.13867
7.76473,11.55945,10.15866
7.76481,11.53935,10.17866
7.76489,11.51935,10.19866
7.76497,11.49936,10.21866
7.76505,11.47936,10.23866
7.76513,11.45936,10.25865
7.76521,11.43936,10.27865
7.76529,11.41937,10.29865
7.76537,11.39937,10.31865
7.76545,11.37937,10.33864
7.76553,11.35937,10.35864
7.76561,11.33938,10.37864
7.76569,11.31954,10.39864
7.76581,11.29972,10.41864
7.76593,11.27966,10.43863
7.76603,11.25948,10.45863
7.76611,11.23939,10.47863
7.76619,11.21939,10.49863
7.76627,11.19939,10.51863
7.76635,11.17939,10.53862
7.76643,11.15940,10.55862
7.76651,11.13940,10.57862
7.76659,11.11940,10.59862
7.76667,11.09940,10.61861
7.76675,11.07941,10.63861
7.76683,11.05941,10.65861
7.76691,11.03941,10.67861
7.76699,11.01958,10.69861
7.76711,10.99976,10.71860
7.76723,10.97969,10.73860
7.76733,10.95952,10.75860
7.76741,10.93942,10.77860
7.76749,10.91943,10.79859
7.76757,10.89943,10.81859
7.76765,10.87943,10.83859
7.76773,10.85943,10.85859
7.76781,10.83944,10.87859
7.76789,10.81944,10.89858
7.76797,10.79944,10.91858
7.76805,10.77944,10.93858
7.76813,10.75944,10.95858
7.76821,10.73945,10.97857
7.76829,10.71961,10.99857
7.76841,10.69979,11.01857
7.76853,10.67973,11.03857
7.76863,10.65955,11.05857
7.76871,10.63946,11.07856
7.76879,10.61946,11.09856
7.76887,10.59946,11.11856
7.76895,10.57947,11.13856
7.76903,10.55947,11.15856
7.76911,10.53947,11.17855
7.76919,10.51947,11.19855
7.76927,10.49948,11.21855
7.76935,10.47948,11.23855
7.76943,10.45948,11.25854
7.76951,10.43948,11.27854
7.76959,10.41965,11.29854
7.76971,10.39983,11.31854
7.76983,10.37976,11.33854
7.76993,10.35959,11.35853
7.77001,10.33950,11.37853
7.77009,10.31950,11.39853
7.77017,10.29950,11.41853
7.77025,10.27950,11.43852
7.77033,10.25950,11.45852
7.77041,10.23951,11.47852
7.77049,10.21951,11.49852
7.77057,10.19951,11.51852
7.77065,10.17951,11.53851
7.77073,10.15952,11.55851
7.77081,10.13952,11.57851
7.77089,10.11952,11.59851
7.77097,10.09952,11.61850
7.77105,10.07960,11.63850
7.77115,10.05978,11.65850
7.77127,10.03988,11.67850
7.77139,10.01972,11.69850
7.77147,9.99955,11.71849
7.77155,9.97954,11.73849
7.77163,9.95954,11.75849
7.77171,9.93954,11.77849
7.77179,9.91954,11.79848
7.77187,9.89955,11.81848
7.77195,9.87955,11.83848
7.77203,9.85955,11.85848
7.77211,9.83955,11.87848
7.77219,9.81956,11.89847
7.77227,9.79956,11.91847
7.77235,9.77964,11.93847
7.77245,9.75982,11.95847
7.77257,9.73992,11.97847
7.77269,9.71976,11.99846
7.77277,9.69958,12.01846
7.77285,9.67957,12.03846
7.77293,9.65958,12.05846
7.77301,9.63958,12.07845
7.77309,9.61958,12.09845
7.77317,9.59958,12.11845
7.77325,9.57959,12.13845
7.77333,9.55959,12.15845
7.77341,9.53959,12.17844
7.77349,9.51959,12.19844
7.77357,9.49959,12.21844
7.77365,9.47967,12.23844
7.77375,9.45985,12.25843
7.77387,9.43995,12.27843
7.77399,9.41979,12.29843
7.77407,9.39962,12.31843
7.77415,9.37961,12.33843
7.77423,9.35961,12.35842
7.77431,9.33961,12.37842
7.77439,9.31962,12.39842
7.77447,9.29962,12.41842
7.77455,9.27962,12.43841
7.77463,9.25962,12.45841
7.77471,9.23963,12.47841
7.77479,9.21963,12.49841
7.77487,9.19963,12.51841
7.77495,9.17971,12.53840
7.77505,9.15989,12.55840
7.77517,9.13999,12.57840
7.77529,9.11983,12.59840
7.77537,9.09965,12.61840
7.77545,9.07964,12.63839
7.77553,9.05965,12.65839
7.77561,9.03965,12.67839
7.77569,9.01965,12.69839
7.77577,8.99965,12.71838
7.77585,8.97966,12.73838
7.77593,8.95966,12.75838
7.77601,8.93966,12.77838
7.77609,8.91966,12.79838
7.77617,8.89967,12.81837
7.77625,8.87974,12.83837
7.77635,8.85992,12.85837
7.77647,8.84002,12.87837
7.77659,8.81986,12.89836
7.77667,8.79969,12.91836
7.77675,8.77968,12.93836
7.77683,8.75968,12.95836
7.77691,8.73969,12.97836
7.77699,8.71969,12.99835
7.77707,8.69969,13.01835
7.77715,8.67969,13.03835
7.77723,8.65969,13.05835
7.77731,8.63970,13.07834
7.77739,8.61970,13.09834
7.77747,8.59970,13.11834
7.77755,8.57986,13.13834
7.77767,8.56021,13.15834
7.77782,8.54041,13.17833
7.77788,8.52516,13.19833
7.77887,8.51027,13.21833
7.77978,8.49552,13.23833
7.78079,8.48692,13.25828
7.78354,8.47359,13.27828
7.78731,8.45451,13.29828
7.79119,8.43548,13.31828
7.79474,8.41805,13.33827
7.79810,8.40341,13.35826
7.80252,8.38680,13.37826
7.80754,8.36781,13.39826
7.81263,8.34887,13.41826
7.81722,8.33179,13.43825
7.82139,8.31772,13.45824
7.82681,8.30164,13.47824
7.83301,8.28316,13.49824
7.83930,8.26477,13.51824
7.84500,8.24809,13.53823
7.85007,8.23444,13.55822
7.85655,8.21883,13.57822
7.86385,8.20116,13.59822
7.87131,8.18362,13.61822
7.87830,8.16720,13.63821
7.88455,8.15342,13.65820
7.89219,8.13798,13.67820
7.90026,8.12161,13.69820
7.90861,8.10552,13.71820
7.91704,8.08930,13.73820
7.92482,8.07497,13.75819
7.93375,8.05946,13.77819
7.94221,8.04471,13.79818
7.95109,8.03047,13.81818
7.96114,8.01439,13.83818
7.97087,7.99912,13.85818
7.98125,7.98330,13.87817
7.98971,7.97029,13.89817
7.99873,7.95806,13.91817
8.01002,7.94273,13.93817
8.02112,7.92789,13.95816
8.03274,7.91266,13.97816
8.04330,7.89880,13.99816
8.05417,7.88543,14.01816
8.06591,7.87101,14.03815
8.07692,7.85786,14.05815
8.08898,7.84401,14.07815
8.10112,7.83005,14.09814
8.11343,7.81639,14.11814
8.12625,7.80219,14.13814
8.13860,7.78874,14.15814
8.15162,7.77489,14.17813
8.16405,7.76165,14.19813
8.17667,7.74878,14.21813
8.19037,7.73485,14.23813
8.20391,7.72117,14.25812
8.21776,7.70733,14.27812
8.23157,7.69352,14.29812
8.24543,7.67980,14.31812
